sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote	afn-fc-transfer-quantity	afn-onhand-buyable-quantity	store
URUGUAY-3GB-15D	B0FRB7LHGN	B0FRB7LHGN	Uruguay eSIM 3 Go 15 Jours	New	17.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
US_3_15	B0FRCFXK3V	B0FRCFXK3V	eSIM États-Unis 3 Go 15 Jours	New	7.61	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
US_5_30	B0FRC2PQ8H	B0FRC2PQ8H	eSIM États-Unis 5 Go 30 Jours	New	6.46	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
UZBEKISTAN-5GB-30D	B0FRBWFZ6M	B0FRBWFZ6M	Uzbékistan eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	0	0	0	0	
VATICAN-CITY-20GB-30D	B0H6MDPLZ9	B0H6MDPLZ9	eSIM Cité du Vatican 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
VATICAN-CITY-3GB-15D	B0H6MBMF8G	B0H6MBMF8G	Cité du Vatican eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
VATICAN-CITY-5GB-30D	B0H6M7YXNP	B0H6M7YXNP	Cité du Vatican eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
VIETNAM-20GB-30D	B0FRC2NKC4	B0FRC2NKC4	Vietnam eSIM 20 Go 30 Jours	New	22.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	0	0	0	0	
VIETNAM-3GB-15D	B0FRBR2DHW	B0FRBR2DHW	Vietnam eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	5	0	0	0	0	0	
VIETNAM-5GB-30D	B0FRCBXRGV	B0FRCBXRGV	Vietnam eSIM 5 Go 30 Jours	New	10.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	3	2	0	0	0	0	
